Plotname;Plotid;Status;Location;Longitude;Latitude;utm_x;utm_y
SEW37;S5091;EP;Forest;13.7826121483;52.9400215749;821305.287116335;5876310.5197859
SEW38;S5104;EP;Forest;13.6707369457;52.8884802265;814167.267639065;5870086.64731993
SEW39;S384;EP;Forest;13.8664454739;52.9247557336;827048.935233304;5874993.12045746
SEW40;S391;EP;Forest;13.8623651461;52.9147687623;826850.221288255;5873864.6559187
SEW41;S397;EP;Forest;13.9099253483;52.9122938399;830063.949937314;5873807.50173046
SEW42;S414;EP;Forest;13.9145343372;52.9027475084;830446.338321172;5872767.8643177
SEW43;S421;EP;Forest;13.9283255647;52.9009765233;831386.551023358;5872634.70400792
SEW44;S488;EP;Forest;13.859220603;52.9184590159;826611.169576166;5874260.42554436
SEW45;S353;EP;Forest;13.8378888408;53.0454545169;824224.5302754;5888276.7189012
SEW46;S5060;EP;Forest;13.7774439698;53.0721224497;819978.307312513;5890968.37477173
SEW47;S5063;EP;Forest;13.7713654294;53.0712780629;819577.710296409;5890847.36843407
SEW48;S360;EP;Forest;13.8449953984;53.0512659201;824656.732205348;5888954.76685223
SEW49;S438;EP;Forest;13.8912306282;52.885260427;829013.104921636;5870717.40427545
SEW50;S5117;EP;Forest;13.7870431421;53.039528434;820863.257897312;5887389.01814562
