Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
SEW06;S5111;SE;VIP;Forest;13.842434933591;52.9069923425496;825569.783544177;5872909.78108272
SEW06;S5111;SW;VIP;Forest;13.840941160809;52.9069923425496;825469.418703593;5872902.99982139
SEW07;S5106;NE;VIP;Forest;13.6951692866847;53.1077984699504;814210.900871178;5894568.62983503
SEW07;S5106;NW;VIP;Forest;13.6936685797153;53.1077984699504;814110.533349995;5894562.03822598
SEW07;S5106;SE;VIP;Forest;13.6951692866847;53.1068975690496;814217.477593425;5894468.5044738
SEW07;S5106;SW;VIP;Forest;13.6936685797153;53.1068975690496;814117.107964658;5894461.91280412
SEW08;S5113;NE;VIP;Forest;13.9310896896921;53.1922476120504;829340.606724848;5905015.85465051
SEW08;S5113;NW;VIP;Forest;13.9295860285079;53.1922476120504;829240.249583184;5905008.92323705
SEW08;S5113;SE;VIP;Forest;13.9310896896921;53.1913467111496;829347.522499538;5904915.73868974
SEW08;S5113;SW;VIP;Forest;13.9295860285079;53.1913467111496;829247.163242997;5904908.80721177
SEW09;S5114;NE;VIP;Forest;13.8108522084307;53.0450373254504;822416.903277567;5888108.22723127
SEW09;S5114;NW;VIP;Forest;13.8093536873693;53.0450373254504;822316.540106462;5888101.47827764
SEW09;S5114;SE;VIP;Forest;13.8108522084307;53.0441364245496;822423.636913834;5888008.10692046
SEW09;S5114;SW;VIP;Forest;13.8093536873693;53.0441364245496;822323.271639514;5888001.35790524
SEW10;S5073;NE;EP;Forest;13.6385932020707;53.0915463931504;810544.239110066;5892515.30796462
SEW10;S5073;NW;EP;Forest;13.6370930619293;53.0915463931504;810443.869223748;5892508.79738011
SEW10;S5073;SE;EP;Forest;13.6385932020707;53.0906454922496;810550.734991031;5892415.18042762
SEW10;S5073;SW;EP;Forest;13.6370930619293;53.0906454922496;810450.362998565;5892408.66978338
SEW11;S5075;NE;EP;Forest;13.634453823187;53.0907441045504;810273.065186952;5892408.18049183
SEW11;S5075;NW;EP;Forest;13.632953711013;53.0907441045504;810172.695131135;5892401.67580105
SEW11;S5075;SE;EP;Forest;13.634453823187;53.0898432036496;810279.555187815;5892308.0527948
SEW11;S5075;SW;EP;Forest;13.632953711013;53.0898432036496;810179.183025926;5892301.54804435
SEW12;S5094;NE;EP;Forest;13.6990132763652;53.0887805339504;814606.918644189;5892471.89065673
SEW12;S5094;NW;EP;Forest;13.6975132326348;53.0887805339504;814506.551169893;5892465.2952724
SEW12;S5094;SE;EP;Forest;13.6990132763652;53.0878796330495;814613.499117697;5892371.76555748
SEW12;S5094;SW;EP;Forest;13.6975132326348;53.0878796330495;814513.129537253;5892365.17011264
SEW13;S154;NE;EP;Forest;13.8646767331028;53.0168161540504;826235.012459164;5885215.78992058
SEW13;S154;NW;EP;Forest;13.8631791922972;53.0168161540504;826134.651334145;5885208.96775202
SEW13;S154;SE;EP;Forest;13.8646767331028;53.0159152531496;826241.819110049;5885115.6719707
SEW13;S154;SW;EP;Forest;13.8631791922972;53.0159152531496;826141.455883764;5885108.84974009
SEW14;S5098;NE;EP;Forest;13.7529205940738;52.9183641115504;819471.489280403;5873770.92399336
SEW14;S5098;NW;EP;Forest;13.7514264601262;52.9183641115504;819371.122977819;5873764.26759425
SEW14;S5098;SE;EP;Forest;13.7529205940738;52.9174632106496;819478.13048634;5873670.80199349
SEW14;S5098;SW;EP;Forest;13.7514264601262;52.9174632106496;819377.76209035;5873664.14553463
